ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
USDCNH.FXCM,20150504,6.20931,6.20874,6.21468,6.20845,6.21487,6.21329,6.2168,6.21081,10738
USDCNH.FXCM,20150505,6.20874,6.20561,6.21337,6.20496,6.21329,6.20813,6.21557,6.20725,19040
USDCNH.FXCM,20150506,6.20561,6.20116,6.20763,6.19677,6.20813,6.2036,6.21038,6.19908,23873
USDCNH.FXCM,20150507,6.20116,6.2112,6.21364,6.19956,6.2036,6.21428,6.21599,6.2019,22681
USDCNH.FXCM,20150508,6.2112,6.20495,6.2134,6.20495,6.21428,6.21175,6.216,6.20832,23876
USDCNH.FXCM,20150510,6.20495,6.20802,6.20805,6.20601,6.21175,6.21348,6.2145,6.21017,73
USDCNH.FXCM,20150511,6.20802,6.21148,6.21551,6.20593,6.21348,6.21481,6.21774,6.2089,14993
USDCNH.FXCM,20150512,6.21148,6.20731,6.21373,6.20547,6.21481,6.20995,6.216,6.20775,17750
USDCNH.FXCM,20150513,6.20731,6.19894,6.20962,6.19819,6.20995,6.2017,6.212,6.20043,36997
USDCNH.FXCM,20150514,6.19894,6.20301,6.204,6.19754,6.2017,6.20608,6.2062,6.19976,27891
USDCNH.FXCM,20150515,6.20301,6.19897,6.20728,6.19897,6.20608,6.20577,6.2096,6.20272,23044
USDCNH.FXCM,20150517,6.19897,6.19949,6.20045,6.19949,6.20577,6.20549,6.2056,6.20462,73
USDCNH.FXCM,20150518,6.19949,6.20461,6.20588,6.19947,6.20549,6.20709,6.20846,6.20326,12591
USDCNH.FXCM,20150519,6.20461,6.208,6.20967,6.2035,6.20709,6.21071,6.2116,6.20584,13882
USDCNH.FXCM,20150520,6.208,6.20274,6.20962,6.20274,6.21071,6.20749,6.2117,6.20579,21795
USDCNH.FXCM,20150521,6.20274,6.19562,6.20513,6.1951,6.20749,6.19841,6.2083,6.1974,29502
USDCNH.FXCM,20150522,6.19562,6.19733,6.20142,6.1923,6.19841,6.20413,6.20413,6.1945,23595
USDCNH.FXCM,20150524,6.19733,6.19744,6.19747,6.19742,6.20413,6.2034,6.20363,6.20338,137
USDCNH.FXCM,20150525,6.19744,6.2001,6.20342,6.19737,6.2034,6.20404,6.20592,6.20133,11872
USDCNH.FXCM,20150526,6.2001,6.20811,6.20837,6.20002,6.20404,6.21059,6.21091,6.20353,28031
USDCNH.FXCM,20150527,6.20811,6.20235,6.20852,6.20222,6.21059,6.20629,6.2111,6.20463,21327
USDCNH.FXCM,20150528,6.20235,6.20276,6.20593,6.19934,6.20629,6.20536,6.20906,6.20151,23779
USDCNH.FXCM,20150529,6.20276,6.19868,6.20383,6.19868,6.20536,6.20548,6.20637,6.20276,18306
USDCNH.FXCM,20150531,6.19868,6.20061,6.20067,6.2006,6.20548,6.20607,6.20813,6.20607,69
USDCNH.FXCM,20150601,6.20061,6.20394,6.20461,6.19653,6.20607,6.2066,6.20795,6.19876,18767
USDCNH.FXCM,20150602,6.20394,6.19966,6.2046,6.19801,6.2066,6.20214,6.20712,6.20021,42533
USDCNH.FXCM,20150603,6.19966,6.19795,6.20085,6.1969,6.20214,6.20059,6.20331,6.19906,30443
USDCNH.FXCM,20150604,6.19795,6.20227,6.20789,6.1963,6.20059,6.20728,6.21013,6.1989,28967
USDCNH.FXCM,20150605,6.20227,6.2081,6.21328,6.20195,6.20728,6.2149,6.21552,6.20494,31273
USDCNH.FXCM,20150607,6.2081,6.20574,6.20579,6.20571,6.2149,6.2117,6.21175,6.21167,85
USDCNH.FXCM,20150608,6.20574,6.20763,6.21419,6.2047,6.2117,6.21001,6.21643,6.208,32843
USDCNH.FXCM,20150609,6.20763,6.21041,6.21393,6.20585,6.21001,6.21289,6.2162,6.20916,28559
USDCNH.FXCM,20150610,6.21041,6.20696,6.21215,6.2065,6.21289,6.20944,6.21452,6.20898,27275
USDCNH.FXCM,20150611,6.20696,6.21096,6.21146,6.2061,6.20944,6.21344,6.21662,6.20945,25157
USDCNH.FXCM,20150612,6.21096,6.21285,6.21856,6.20942,6.21344,6.21965,6.2211,6.21162,26747
