date,close,unit_nav,premium
2022-08-03,1.099,1.1273,-0.025104231349241557
2022-08-04,1.125,1.1325,-0.0066225165562914245
2022-08-05,1.131,1.1227,0.007392892135031692
2022-08-08,1.13,1.1202,0.008748437778967944
2022-08-09,1.12,1.107,0.011743450767841113
2022-08-10,1.103,1.1388,-0.031436599929750675
2022-08-11,1.14,1.1284,0.010280042538106882
2022-08-12,1.131,1.1511,-0.017461558509252018
2022-08-15,1.15,1.1652,-0.013044970820460078
2022-08-16,1.167,1.1662,0.0006859886811869664
2022-08-17,1.162,1.1503,0.010171259671389876
2022-08-18,1.146,1.1561,-0.00873626848888509
2022-08-19,1.148,1.1366,0.010029913777934052
2022-08-22,1.131,1.1102,0.0187353629976581
2022-08-23,1.109,1.1132,-0.003772906934962239
2022-08-24,1.113,1.1169,-0.0034918076819768773
2022-08-25,1.126,1.1345,-0.007492287351256177
2022-08-26,1.133,1.0895,0.03992657182193682
2022-08-29,1.088,1.0882,-0.00018378974453225894
2022-08-30,1.093,1.0748,0.016933382954968268
2022-08-31,1.082,1.0657,0.015295111194520095
2022-09-01,1.057,1.0675,-0.00983606557377048
2022-09-02,1.071,1.0519,0.018157619545584147
2022-09-05,1.059,1.058,0.000945179584120881
2022-09-06,1.066,1.0505,0.0147548786292242
2022-09-07,1.055,1.0758,-0.019334448782301727
2022-09-08,1.078,1.0806,-0.0024060707014620375
2022-09-09,1.081,1.0973,-0.014854643215164498
2022-09-13,1.112,1.0494,0.05965313512483328
2022-09-14,1.058,1.0645,-0.006106153123532132
2022-09-15,1.065,1.0474,0.01680351346190556
2022-09-16,1.041,1.0486,-0.007247758916650859
2022-09-19,1.041,1.0565,-0.014671083767155757
2022-09-20,1.059,1.0461,0.012331517063378206
2022-09-21,1.057,1.0337,0.02254038889426324
2022-09-22,1.036,1.0273,0.008468801713228835
2022-09-23,1.032,1.0124,0.019359936783879927
2022-09-26,1.019,1.0137,0.0052283713130116816
2022-09-27,1.04,1.0151,0.02452960299477902
2022-09-28,1.027,1.0477,-0.019757564188221943
2022-09-29,1.043,1.013,0.029615004935834133
2022-09-30,1.028,0.9802,0.048765558049377766
2022-10-10,0.996,0.9819,0.014359914451573585
