日期,纳指ETF,红利低波ETF,中证500ETF,黄金ETF,国债ETF
2019-06-21,0.5494,0.5552,4.3747,3.0790,114.3336
2019-06-28,0.5434,0.5498,4.3244,3.1090,114.2946
2019-07-05,0.5606,0.5654,4.4091,3.1250,114.6497
2019-07-12,0.5632,0.5542,4.2497,3.1110,114.6361
2019-07-19,0.5668,0.5576,4.2648,3.1770,114.7570
2019-07-26,0.5706,0.5635,4.2850,3.1340,114.7804
2019-08-02,0.5634,0.5493,4.2053,3.1840,115.0526
2019-08-09,0.5642,0.5337,4.0224,3.4030,115.5277
2019-08-16,0.5522,0.5386,4.1222,3.4190,115.5287
2019-08-23,0.5678,0.5478,4.2766,3.3980,115.1375
2019-08-30,0.5680,0.5439,4.2850,3.5080,115.2975
2019-09-06,0.5786,0.5576,4.5241,3.4290,115.6389
2019-09-12,0.5804,0.5625,4.6021,3.4040,115.3053
2019-09-20,0.5790,0.5596,4.5576,3.4120,115.3726
2019-09-27,0.5708,0.5498,4.3823,3.4040,115.2682
2019-09-30,0.5666,0.5474,4.3185,3.3960,115.5004
2019-10-11,0.5694,0.5620,4.4410,3.4050,115.4077
2019-10-18,0.5796,0.5571,4.3479,3.3710,115.3609
2019-10-25,0.5790,0.5610,4.3840,3.3980,115.3209
2019-11-01,0.5910,0.5586,4.3529,3.3870,115.1316
2019-11-08,0.5920,0.5615,4.3722,3.2690,115.1882
2019-11-15,0.6026,0.5488,4.2699,3.2680,115.4243
2019-11-22,0.6044,0.5566,4.2892,3.2870,115.7677
2019-11-29,0.6188,0.5601,4.2892,3.2650,115.8672
2019-12-06,0.6114,0.5635,4.3991,3.2970,116.0476
2019-12-13,0.6216,0.5723,4.4653,3.2610,115.8535
2019-12-20,0.6308,0.5806,4.5727,3.3020,115.9715
2019-12-27,0.6432,0.5801,4.5526,3.3630,116.7666
2020-01-03,0.6506,0.5977,4.7372,3.4220,116.3461
2020-01-10,0.6729,0.5952,4.8278,3.4180,116.7656
